,SevereWasting,Wasting,Overweight,Stunting,Underweight,,,,,,,,,,,,,,,,,,,,,,
142,1.5,5.054545455,4.54,40.99090909,17.72727273,,,,,,,,,,Confidence Level(95.0%),7.055013302,Confidence Level(95.0%),0.262764278,Confidence Level(95.0%),0.713461602,Confidence Level(95.0%),0.737626233,Confidence Level(95.0%),2.345878424,Confidence Level(95.0%),1.734536622,
143,0.04,0.514285714,7.414285714,2.914285714,0.88,,,,,,,,,,,,,,,,,,,,,,
144,0.65,2.383333333,9.166666667,14.24285714,5.128571429,,,,,,,,,,,,,,,,,,,,,,
145,2.975,6.475,10.925,23.7,7,,,,,,,,,,,,,,,,,,,,,,
146,1.7,5.8,4.8,26.76666667,11.26666667,,,,,,,,,,,,,,,,,,,,,,
147,2.168649695,4.333333333,5.40952381,16.95714286,4.242857143,,,,,,,,,,,,,,,,,,,,,,
148,2.33125,8.661904762,3.317647059,34.92272727,22.91818182,,,,,,,,,,,,,,,,,,,,,,
149,5.3,15.24285714,4.842857143,51.9,37.78571429,,,,,,,,,,,,,,,,,,,,,,
150,2.042857143,5.542857143,7.228571429,48.1375,17.88571429,,,,,,,,,,,,,,,,,,,,,,
151,1.388888889,4.166666667,5.788888889,30.45555556,10.71,,,,,,,,,,,,,,,,,,,,,,
